2025-05-22 12:01:57.240798, Average marks of each class, SELECT CLASS, AVG(MARKS) FROM STUDENT GROUP BY CLASS;

2025-05-22 12:02:43.554339, Who was absent on 2024-03-15?, SELECT NAME FROM ATTENDANCE WHERE DATE = '2024-03-15' AND STATUS = 'Absent';

2025-05-22 15:11:38.202467, Change the name of student from Alice Smith to Sairaman, UPDATE STUDENT SET NAME = 'Sairaman' WHERE NAME = 'Alice Smith';

2025-05-23 10:01:34.372076, Remove student named Robert Brown, DELETE FROM STUDENT WHERE NAME = 'Robert Brown';

2025-05-23 10:01:59.383268, Show who was absent on 2024-03-15, SELECT NAME FROM ATTENDANCE WHERE DATE = '2024-03-15' AND STATUS = 'Absent';

2025-05-23 12:35:18.472860, Average marks of each class, SELECT CLASS, AVG(MARKS) FROM STUDENT GROUP BY CLASS;

2025-05-23 19:19:46.444081, Provide the average marks of all students class wise, SELECT CLASS, AVG(MARKS) FROM STUDENT GROUP BY CLASS;

2025-05-23 19:20:11.577425, List all students and their instructors, SELECT STUDENT.NAME, COURSE.INSTRUCTOR FROM STUDENT JOIN COURSE ON STUDENT.CLASS = COURSE.CLASS;

2025-05-23 19:25:27.220696, Show all student names and their marks, SELECT NAME, MARKS FROM STUDENT;

2025-05-23 19:25:49.169931, List all students and their instructors, SELECT STUDENT.NAME, COURSE.INSTRUCTOR FROM STUDENT JOIN COURSE ON STUDENT.CLASS = COURSE.CLASS;

